task id resource start end time type
mDiffFit 108 1536 18659 18955 446 sdbcs 
mDiffFit 204 1536 17482 17781 466 sdbcs 
mDiffFit 235 1536 17814 18096 552 sdbcs 
mDiffFit 555 1536 18437 18947 456 sdbcs 
mDiffFit 869 1536 18654 18903 518 sdbcs 
mDiffFit 65 1536 18315 18598 487 sdbcs 
mDiffFit 376 1536 17151 17624 476 sdbcs 
mDiffFit 50 1536 18522 18818 466 sdbcs 
mDiffFit 124 1536 18298 18620 559 sdbcs 
mDiffFit 410 1536 17420 17867 456 sdbcs 
mDiffFit 768 1536 18588 19317 487 sdbcs 
mDiffFit 540 1536 17930 18339 487 sdbcs 
mDiffFit 678 1536 18618 19232 437 sdbcs 
mDiffFit 244 1536 18534 18821 518 sdbcs 
mDiffFit 432 1536 17669 18680 538 sdbcs 
mDiffFit 492 1536 16903 17406 518 sdbcs 
mDiffFit 77 1536 17759 18375 466 sdbcs 
mDiffFit 784 1536 17859 18178 528 sdbcs 
mDiffFit 827 1536 18589 18878 518 sdbcs 
mDiffFit 87 1536 17133 17550 437 sdbcs 
mDiffFit 54 1536 17024 17478 437 sdbcs 
mDiffFit 436 1536 17659 18306 497 sdbcs 
mDiffFit 182 1536 17486 17813 466 sdbcs 
mDiffFit 237 1536 18306 18878 427 sdbcs 
mDiffFit 115 1536 17801 18133 466 sdbcs 
mDiffFit 459 1536 17882 18867 456 sdbcs 
mDiffFit 102 1536 18450 18809 528 sdbcs 
mDiffFit 155 1536 18323 18607 538 sdbcs 
mDiffFit 171 1536 18478 19081 476 sdbcs 
mDiffFit 392 1536 17721 18130 476 sdbcs 
mDiffFit 92 1536 17899 18167 466 sdbcs 
mDiffFit 552 1536 17755 18284 417 sdbcs 
mDiffFit 564 1536 17843 18450 538 sdbcs 
mDiffFit 478 1536 18118 18721 518 sdbcs 
mDiffFit 418 1536 17719 18054 497 sdbcs 
mDiffFit 571 1536 18518 18809 538 sdbcs 
mDiffFit 744 1536 18235 18633 507 sdbcs 
mDiffFit 103 1536 17885 18178 497 sdbcs 
mDiffFit 179 1536 17265 17674 412 sdbcs 
mDiffFit 105 1536 18656 18955 456 sdbcs 
mDiffFit 808 1536 18445 18710 507 sdbcs 
mDiffFit 696 1536 17074 17524 456 sdbcs 
mDiffFit 762 1536 17815 18146 487 sdbcs 
mDiffFit 146 1536 17794 18133 487 sdbcs 
mDiffFit 377 1536 17049 17550 487 sdbcs 
mDiffFit 775 1536 18361 18674 559 sdbcs 
mDiffFit 792 1536 17851 18134 497 sdbcs 
mDiffFit 125 1536 19031 19819 476 sdbcs 
mDiffFit 761 1536 17530 17845 487 sdbcs 
mDiffFit 188 1536 17885 18455 549 sdbcs 
mDiffFit 248 1536 17512 17922 456 sdbcs 
mDiffFit 255 1536 17582 17871 476 sdbcs 
mDiffFit 241 1536 18295 18554 487 sdbcs 
mDiffFit 794 1536 18249 18547 487 sdbcs 
mDiffFit 62 1536 16730 17229 497 sdbcs 
mDiffFit 501 1536 18363 19039 476 sdbcs 
mDiffFit 562 1536 18415 18905 466 sdbcs 
mDiffFit 813 1536 18529 19046 446 sdbcs 
mDiffFit 130 1536 17179 17547 497 sdbcs 
mDiffFit 561 1536 18411 18699 446 sdbcs 
mDiffFit 486 1536 18162 18783 476 sdbcs 
mDiffFit 766 1536 17907 18400 412 sdbcs 
mDiffFit 251 1536 17847 18458 427 sdbcs 
mDiffFit 412 1536 16992 17730 417 sdbcs 
mDiffFit 667 1536 16933 17387 402 sdbcs 
mDiffFit 683 1536 17494 17829 476 sdbcs 
mDiffFit 840 1536 18103 18349 559 sdbcs 
mDiffFit 133 1536 17050 17592 497 sdbcs 
mDiffFit 191 1536 17785 18560 518 sdbcs 
mDiffFit 493 1536 16974 17779 476 sdbcs 
mDiffFit 822 1536 18356 18612 476 sdbcs 
mDiffFit 450 1536 18350 18664 544 sdbcs 
mDiffFit 828 1536 18212 18476 446 sdbcs 
mDiffFit 98 1536 17005 17451 518 sdbcs 
mDiffFit 147 1536 17858 18511 446 sdbcs 
mDiffFit 543 1536 17855 18148 497 sdbcs 
mDiffFit 834 1536 18597 18982 466 sdbcs 
mDiffFit 69 1536 17004 17458 497 sdbcs 
mDiffFit 798 1536 17292 17716 487 sdbcs 
mDiffFit 472 1536 17931 18919 466 sdbcs 
mDiffFit 861 1536 19338 19647 507 sdbcs 
mDiffFit 879 1536 18507 19156 507 sdbcs 
mDiffFit 216 1536 17512 18083 518 sdbcs 
mDiffFit 847 1536 18723 19464 518 sdbcs 
mDiffFit 397 1536 18954 19560 456 sdbcs 
mDiffFit 88 1536 17566 17866 538 sdbcs 
mDiffFit 177 1536 17166 17583 465 sdbcs 
mDiffFit 729 1536 18122 18658 446 sdbcs 
mDiffFit 496 1536 16957 17335 487 sdbcs 
mDiffFit 815 1536 18233 18525 446 sdbcs 
mDiffFit 390 1536 18037 18582 456 sdbcs 
mDiffFit 716 1536 17843 18170 487 sdbcs 
mDiffFit 763 1536 18377 18803 538 sdbcs 
mDiffFit 151 1536 17881 18507 466 sdbcs 
mDiffFit 363 1536 16743 17128 497 sdbcs 
mDiffFit 157 1536 18529 18841 417 sdbcs 
mDiffFit 190 1536 18463 19110 518 sdbcs 
mDiffFit 565 1536 18187 18805 417 sdbcs 
mDiffFit 816 1536 18249 18516 446 sdbcs 
mDiffFit 770 1536 18672 18939 427 sdbcs 
mDiffFit 222 1536 17260 17814 538 sdbcs 
mDiffFit 823 1536 18431 18671 427 sdbcs 
mDiffFit 573 1536 18595 18923 559 sdbcs 
mDiffFit 469 1536 17372 17945 518 sdbcs 
mDiffFit 684 1536 18496 18912 476 sdbcs 
mDiffFit 677 1536 17841 18177 427 sdbcs 
mDiffFit 234 1536 18346 19007 437 sdbcs 
mDiffFit 433 1536 18404 18706 538 sdbcs 
mDiffFit 558 1536 17672 18671 507 sdbcs 
mDiffFit 498 1536 17385 17909 507 sdbcs 
mDiffFit 163 1536 17234 17517 559 sdbcs 
mDiffFit 767 1536 18239 18912 476 sdbcs 
mDiffFit 78 1536 17651 18209 507 sdbcs 
mDiffFit 742 1536 18170 18480 476 sdbcs 
mDiffFit 499 1536 19690 20181 466 sdbcs 
mDiffFit 803 1536 18429 18704 466 sdbcs 
