task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mBackground_52,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mBackground_79,90,619,4,1706,4135680,2069544.0,4,8278176,4135680,4135680,4135680.0,2,8271360,5793368
mDiffFit_147,423,619,1,277,4161600,3329335.4,5,16646677,272,272,272.0,1,272,746640
mDiffFit_158,423,619,1,277,4170240,3332791.4,5,16663957,264,264,264.0,1,264,746640
mDiffFit_214,423,619,1,277,4161600,3329335.4,5,16646677,266,266,266.0,1,266,746640
mDiffFit_303,423,619,1,277,4144320,3315511.4,5,16577557,262,262,262.0,1,262,746640
mBackground_62,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_186,423,619,1,277,4161600,3329335.4,5,16646677,262,262,262.0,1,262,746640
mDiffFit_407,423,619,1,277,4144320,3312055.4,5,16560277,270,270,270.0,1,270,746640
mDiffFit_91,423,619,1,277,4152960,3318967.4,5,16594837,272,272,272.0,1,272,746640
mDiffFit_106,423,619,1,277,4152960,3318967.4,5,16594837,268,268,268.0,1,268,746640
mProject_29,90,619,0,277,1545146,772711.5,2,1545423,4152960,4152960,4152960.0,2,8305920,5930728
mDiffFit_279,423,619,1,277,4161600,3329335.4,5,16646677,274,274,274.0,1,274,746640
mDiffFit_64,423,619,1,277,4144320,3315511.4,5,16577557,263,263,263.0,1,263,746640
mDiffFit_17,423,619,1,277,4152960,3322423.4,5,16612117,260,260,260.0,1,260,746640
mDiffFit_129,423,619,1,277,4152960,3318967.4,5,16594837,265,265,265.0,1,265,746640
mDiffFit_116,423,619,1,277,4152960,3322423.4,5,16612117,266,266,266.0,1,266,746640
mDiffFit_51,423,619,1,277,4152960,3318967.4,5,16594837,263,263,263.0,1,263,746640
mDiffFit_251,423,619,1,277,4161600,3329335.4,5,16646677,272,272,272.0,1,272,746640
mDiffFit_198,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
mBackground_85,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_298,423,619,1,277,4144320,3312055.4,5,16560277,268,268,268.0,1,268,746640
mDiffFit_285,423,619,1,277,4144320,3312055.4,5,16560277,261,261,261.0,1,261,746640
mDiffFit_111,423,619,1,277,4144320,3315511.4,5,16577557,273,273,273.0,1,273,746640
mDiffFit_383,423,619,1,277,4144320,3315511.4,5,16577557,265,265,265.0,1,265,746640
mProject_35,90,619,0,277,1472800,736538.5,2,1473077,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_225,423,619,1,277,4161600,3329335.4,5,16646677,269,269,269.0,1,269,746640
mDiffFit_103,423,619,1,277,4152960,3318967.4,5,16594837,269,269,269.0,1,269,746640
mDiffFit_83,423,619,1,277,4152960,3318967.4,5,16594837,258,258,258.0,1,258,746640
mDiffFit_77,423,619,1,277,4152960,3318967.4,5,16594837,264,264,264.0,1,264,746640
mProject_34,90,619,0,277,1469918,735097.5,2,1470195,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_90,423,619,1,277,4144320,3315511.4,5,16577557,270,270,270.0,1,270,746640
mDiffFit_338,423,619,1,277,4144320,3312055.4,5,16560277,261,261,261.0,1,261,746640
mDiffFit_48,423,619,1,277,4152960,3318967.4,5,16594837,265,265,265.0,1,265,746640
mDiffFit_171,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
mDiffFit_161,423,619,1,277,4161600,3329335.4,5,16646677,258,258,258.0,1,258,746640
mDiffFit_157,423,619,1,277,4161600,3329335.4,5,16646677,264,264,264.0,1,264,746640
mDiffFit_108,423,619,1,277,4152960,3318967.4,5,16594837,267,267,267.0,1,267,746640
mViewer_1,4,619,7,6482880,6482880,6482880.0,1,6482880,522086,522086,522086.0,1,522086,5041472
mDiffFit_327,423,619,1,277,4144320,3315511.4,5,16577557,261,261,261.0,1,261,746640
mDiffFit_112,423,619,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mDiffFit_208,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
mDiffFit_274,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mDiffFit_176,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
mDiffFit_341,423,619,1,277,4144320,3315511.4,5,16577557,263,263,263.0,1,263,746640
mDiffFit_82,423,619,1,277,4152960,3318967.4,5,16594837,261,261,261.0,1,261,746640
mProject_70,90,619,0,277,1467050,733663.5,2,1467327,4144320,4144320,4144320.0,2,8288640,5930728
mProject_3,90,619,0,277,1538769,769523.0,2,1539046,4152960,4152960,4152960.0,2,8305920,5930728
mBackground_21,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mBackground_56,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_1,423,619,1,277,4152960,3318967.4,5,16594837,261,261,261.0,1,261,746640
mProject_8,90,619,0,277,1531938,766107.5,2,1532215,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_120,423,619,1,277,4152960,3322423.4,5,16612117,266,266,266.0,1,266,746640
mDiffFit_267,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mDiffFit_146,423,619,1,277,4161600,3329335.4,5,16646677,270,270,270.0,1,270,746640
mDiffFit_351,423,619,1,277,4144320,3315511.4,5,16577557,268,268,268.0,1,268,746640
mDiffFit_105,423,619,1,277,4152960,3318967.4,5,16594837,260,260,260.0,1,260,746640
mDiffFit_23,423,619,1,277,4152960,3322423.4,5,16612117,268,268,268.0,1,268,746640
mDiffFit_206,423,619,1,277,4161600,3329335.4,5,16646677,266,266,266.0,1,266,746640
mProject_86,90,619,0,277,1468069,734173.0,2,1468346,4144320,4144320,4144320.0,2,8288640,5930728
mBackground_37,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mBackground_81,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_394,423,619,1,277,4144320,3315511.4,5,16577557,271,271,271.0,1,271,746640
mBackground_45,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
