task id resource start end time type
mDiffFit 772 1536 18303 18583 463 sdbcs 
mDiffFit 253 1536 19359 19699 407 sdbcs 
mDiffFit 845 1536 18215 18581 455 sdbcs 
mDiffFit 146 1536 18475 18832 541 sdbcs 
mDiffFit 59 1536 16756 17108 519 sdbcs 
mDiffFit 688 1536 19756 20141 484 sdbcs 
mDiffFit 503 1536 19563 19874 449 sdbcs 
mDiffFit 75 1536 18605 18974 498 sdbcs 
mDiffFit 371 1536 19246 19541 491 sdbcs 
mDiffFit 507 1536 19228 19874 449 sdbcs 
mDiffFit 154 1536 19740 20055 491 sdbcs 
mDiffFit 466 1536 19264 19552 519 sdbcs 
mDiffFit 113 1536 19748 20083 470 sdbcs 
mDiffFit 522 1536 19556 19921 462 sdbcs 
mDiffFit 424 1536 18641 18994 442 sdbcs 
mDiffFit 447 1536 19432 19774 449 sdbcs 
mDiffFit 515 1536 18297 18602 449 sdbcs 
mDiffFit 382 1536 18448 18766 477 sdbcs 
mDiffFit 686 1536 19192 19514 463 sdbcs 
mDiffFit 87 1536 17951 18211 455 sdbcs 
mDiffFit 566 1536 19142 19477 428 sdbcs 
mDiffFit 214 1536 17416 17741 455 sdbcs 
mDiffFit 524 1536 19098 19389 477 sdbcs 
mDiffFit 66 1536 18647 18947 470 sdbcs 
mDiffFit 388 1536 18438 18743 463 sdbcs 
mDiffFit 85 1536 18726 19098 462 sdbcs 
mDiffFit 675 1536 18235 18559 435 sdbcs 
mDiffFit 848 1536 19351 19768 435 sdbcs 
mDiffFit 166 1536 17624 17924 435 sdbcs 
mDiffFit 373 1536 18345 18636 519 sdbcs 
mDiffFit 411 1536 17856 18133 470 sdbcs 
mDiffFit 738 1536 19147 19405 414 sdbcs 
mDiffFit 385 1536 17766 18056 462 sdbcs 
mDiffFit 690 1536 19211 19542 470 sdbcs 
mDiffFit 707 1536 19383 19661 498 sdbcs 
mDiffFit 251 1536 17447 17780 519 sdbcs 
mDiffFit 257 1536 18697 19017 463 sdbcs 
mDiffFit 442 1536 18972 19247 442 sdbcs 
mDiffFit 528 1536 19430 19716 462 sdbcs 
mDiffFit 182 1536 17624 17935 477 sdbcs 
mDiffFit 390 1536 18679 19022 498 sdbcs 
mDiffFit 788 1536 18275 18549 470 sdbcs 
mDiffFit 554 1536 19097 19443 463 sdbcs 
mDiffFit 207 1536 17559 17871 477 sdbcs 
mDiffFit 791 1536 17593 17927 414 sdbcs 
mDiffFit 425 1536 18637 19372 428 sdbcs 
mDiffFit 144 1536 18596 18898 414 sdbcs 
mDiffFit 387 1536 18445 19025 498 sdbcs 
mDiffFit 189 1536 18864 19181 449 sdbcs 
mDiffFit 837 1536 18263 18526 421 sdbcs 
mDiffFit 200 1536 19687 20020 526 sdbcs 
mDiffFit 95 1536 19625 19886 477 sdbcs 
mDiffFit 792 1536 18656 18917 477 sdbcs 
mDiffFit 793 1536 18576 18888 470 sdbcs 
mDiffFit 450 1536 18953 19299 435 sdbcs 
mDiffFit 471 1536 19928 20192 470 sdbcs 
mDiffFit 537 1536 19278 19573 505 sdbcs 
mDiffFit 414 1536 19271 19583 477 sdbcs 
mDiffFit 449 1536 19010 19316 477 sdbcs 
mDiffFit 559 1536 19166 19472 477 sdbcs 
mDiffFit 784 1536 18274 18593 456 sdbcs 
mDiffFit 835 1536 19043 19368 442 sdbcs 
mDiffFit 383 1536 18283 18570 449 sdbcs 
mDiffFit 767 1536 18424 19101 456 sdbcs 
mDiffFit 672 1536 18260 18622 428 sdbcs 
mDiffFit 814 1536 19145 19448 463 sdbcs 
mDiffFit 403 1536 18525 18812 470 sdbcs 
mDiffFit 860 1536 19806 20082 435 sdbcs 
mDiffFit 735 1536 18540 18926 470 sdbcs 
mDiffFit 763 1536 18461 18959 463 sdbcs 
mDiffFit 495 1536 19001 19291 526 sdbcs 
mDiffFit 692 1536 19054 19334 455 sdbcs 
mDiffFit 759 1536 19624 19922 491 sdbcs 
mDiffFit 810 1536 19162 19448 484 sdbcs 
mDiffFit 711 1536 19408 19735 442 sdbcs 
mDiffFit 193 1536 19369 19668 463 sdbcs 
mDiffFit 508 1536 19238 19544 455 sdbcs 
mDiffFit 571 1536 19930 20293 505 sdbcs 
mDiffFit 830 1536 18247 18537 470 sdbcs 
mDiffFit 237 1536 19466 19753 462 sdbcs 
mDiffFit 859 1536 19669 19914 484 sdbcs 
mDiffFit 722 1536 19562 19892 477 sdbcs 
mDiffFit 357 1536 17749 18123 498 sdbcs 
mDiffFit 520 1536 18355 18661 449 sdbcs 
mDiffFit 779 1536 18517 19119 455 sdbcs 
mDiffFit 254 1536 17095 17417 463 sdbcs 
mDiffFit 124 1536 19481 19775 470 sdbcs 
mDiffFit 239 1536 19344 19633 456 sdbcs 
mDiffFit 51 1536 18215 18546 470 sdbcs 
mDiffFit 427 1536 19475 19734 470 sdbcs 
mDiffFit 747 1536 19536 19868 470 sdbcs 
mDiffFit 76 1536 17674 18019 428 sdbcs 
mDiffFit 221 1536 17570 18008 491 sdbcs 
mDiffFit 684 1536 19274 19556 484 sdbcs 
mDiffFit 813 1536 19659 19953 421 sdbcs 
mDiffFit 689 1536 19229 19910 477 sdbcs 
mDiffFit 740 1536 19155 19511 491 sdbcs 
mDiffFit 567 1536 19305 19731 512 sdbcs 
mDiffFit 475 1536 18520 18800 421 sdbcs 
mDiffFit 150 1536 19391 19781 470 sdbcs 
mDiffFit 419 1536 19292 19580 540 sdbcs 
mDiffFit 460 1536 20001 20351 477 sdbcs 
mDiffFit 489 1536 19611 19878 484 sdbcs 
mDiffFit 467 1536 19309 19613 477 sdbcs 
mDiffFit 248 1536 18726 19077 512 sdbcs 
mDiffFit 262 1536 18159 18469 484 sdbcs 
mDiffFit 149 1536 18577 18940 455 sdbcs 
mDiffFit 181 1536 17049 17409 484 sdbcs 
mDiffFit 243 1536 18856 19144 435 sdbcs 
mDiffFit 177 1536 18775 19076 477 sdbcs 
mDiffFit 458 1536 19313 19636 498 sdbcs 
mDiffFit 840 1536 19556 19851 463 sdbcs 
mDiffFit 77 1536 19423 19741 477 sdbcs 
mDiffFit 863 1536 18935 19210 456 sdbcs 
mDiffFit 86 1536 17366 17726 449 sdbcs 
mDiffFit 71 1536 19620 19943 505 sdbcs 
mDiffFit 856 1536 19706 19994 456 sdbcs 
mDiffFit 165 1536 17304 17626 470 sdbcs 
mDiffFit 732 1536 19081 19365 505 sdbcs 
mDiffFit 696 1536 19054 19331 455 sdbcs 
mDiffFit 249 1536 19633 19942 414 sdbcs 
mDiffFit 222 1536 17576 17894 470 sdbcs 
mDiffFit 421 1536 18686 18980 449 sdbcs 
mDiffFit 862 1536 19275 19565 491 sdbcs 
mDiffFit 451 1536 19151 19418 470 sdbcs 
mDiffFit 558 1536 19229 19901 470 sdbcs 
mDiffFit 155 1536 19471 19812 463 sdbcs 
mDiffFit 552 1536 19346 19790 428 sdbcs 
mDiffFit 816 1536 19736 20042 442 sdbcs 
mDiffFit 563 1536 19151 19437 455 sdbcs 
mDiffFit 534 1536 19628 20006 498 sdbcs 
mDiffFit 256 1536 16773 17070 477 sdbcs 
mDiffFit 700 1536 18745 19520 456 sdbcs 
mDiffFit 115 1536 18932 19214 505 sdbcs 
mDiffFit 61 1536 16801 17198 463 sdbcs 
mDiffFit 744 1536 19293 19639 470 sdbcs 
mDiffFit 712 1536 19418 19682 456 sdbcs 
mDiffFit 404 1536 18634 18951 484 sdbcs 
mDiffFit 143 1536 19627 19912 463 sdbcs 
mDiffFit 541 1536 19702 19994 435 sdbcs 
mDiffFit 259 1536 19623 19958 484 sdbcs 
mDiffFit 706 1536 19530 19754 505 sdbcs 
mDiffFit 545 1536 19765 20084 463 sdbcs 
mDiffFit 380 1536 19044 19345 449 sdbcs 
mDiffFit 730 1536 19007 19395 463 sdbcs 
mDiffFit 156 1536 18896 19234 512 sdbcs 
mDiffFit 704 1536 18829 19148 505 sdbcs 
mDiffFit 716 1536 19404 19696 463 sdbcs 
mDiffFit 673 1536 18233 18629 449 sdbcs 
mDiffFit 173 1536 18807 19192 470 sdbcs 
mDiffFit 151 1536 18852 19136 491 sdbcs 
mDiffFit 701 1536 18909 19243 435 sdbcs 
mDiffFit 493 1536 18351 18972 428 sdbcs 
mDiffFit 797 1536 18971 19295 462 sdbcs 
mDiffFit 361 1536 17340 17678 442 sdbcs 
mDiffFit 512 1536 19378 19703 435 sdbcs 
mDiffFit 546 1536 19675 20031 449 sdbcs 
mDiffFit 375 1536 16879 17224 470 sdbcs 
mDiffFit 399 1536 19174 19466 470 sdbcs 
mDiffFit 798 1536 18707 19020 477 sdbcs 
mDiffFit 90 1536 19305 19579 449 sdbcs 
mDiffFit 142 1536 18500 18808 449 sdbcs 
mDiffFit 715 1536 19412 19988 491 sdbcs 
mDiffFit 838 1536 18404 18732 421 sdbcs 
mDiffFit 844 1536 18627 18935 491 sdbcs 
mDiffFit 72 1536 18894 19222 414 sdbcs 
mDiffFit 464 1536 19387 19727 484 sdbcs 
mDiffFit 815 1536 18812 19057 484 sdbcs 
mDiffFit 145 1536 18481 18796 484 sdbcs 
mDiffFit 171 1536 17140 17477 491 sdbcs 
mDiffFit 543 1536 19236 19557 477 sdbcs 
mDiffFit 553 1536 19129 19501 484 sdbcs 
mDiffFit 544 1536 19990 20295 463 sdbcs 
mDiffFit 871 1536 18436 18715 463 sdbcs 
mDiffFit 456 1536 19379 19697 455 sdbcs 
mDiffFit 762 1536 19088 19471 477 sdbcs 
mDiffFit 523 1536 17179 17499 491 sdbcs 
mDiffFit 241 1536 19309 19610 456 sdbcs 
mDiffFit 677 1536 18922 19331 462 sdbcs 
mDiffFit 461 1536 19580 20033 456 sdbcs 
mDiffFit 685 1536 19684 20008 526 sdbcs 
mDiffFit 801 1536 18998 19658 428 sdbcs 
mDiffFit 483 1536 17576 17919 463 sdbcs 
mDiffFit 776 1536 16896 17310 428 sdbcs 
mDiffFit 48 1536 19655 19928 421 sdbcs 
mDiffFit 878 1536 18567 18884 462 sdbcs 
mDiffFit 216 1536 18695 18991 484 sdbcs 
mDiffFit 800 1536 19106 19420 505 sdbcs 
mDiffFit 104 1536 18758 19358 421 sdbcs 
mDiffFit 469 1536 19655 19966 414 sdbcs 
mDiffFit 364 1536 18334 19040 435 sdbcs 
mDiffFit 565 1536 19203 19566 470 sdbcs 
mDiffFit 245 1536 19172 19521 463 sdbcs 
mDiffFit 695 1536 19379 19729 470 sdbcs 
mDiffFit 874 1536 18741 19023 442 sdbcs 
mDiffFit 488 1536 20009 20277 463 sdbcs 
mDiffFit 494 1536 18510 18828 435 sdbcs 
mDiffFit 187 1536 19052 19325 449 sdbcs 
mDiffFit 363 1536 17268 17586 449 sdbcs 
mDiffFit 504 1536 19378 19708 456 sdbcs 
mDiffFit 569 1536 19955 20199 456 sdbcs 
mDiffFit 745 1536 19145 19470 512 sdbcs 
mDiffFit 857 1536 19714 20120 456 sdbcs 
mDiffFit 831 1536 17856 18262 491 sdbcs 
mDiffFit 484 1536 18323 18755 477 sdbcs 
mDiffFit 69 1536 18197 18628 455 sdbcs 
mDiffFit 733 1536 19091 19428 414 sdbcs 
mDiffFit 63 1536 19335 19653 456 sdbcs 
mDiffFit 510 1536 19565 19872 442 sdbcs 
mDiffFit 58 1536 17066 17431 442 sdbcs 
mDiffFit 468 1536 19597 19946 491 sdbcs 
